version,condition_uid,aa_ageband,sex,analysis_type,aaf
aaf_2007_ni39,2,65-74 Yrs,F,morbidity,1
aaf_2007_ni39,2,75+ Yrs,F,morbidity,1
aaf_2007_ni39,2,00-15 Yrs,M,morbidity,1
aaf_2007_ni39,2,16-24 Yrs,M,morbidity,1
aaf_2007_ni39,2,25-34 Yrs,M,morbidity,1
aaf_2007_ni39,2,35-44 Yrs,M,morbidity,1
aaf_2007_ni39,2,45-54 Yrs,M,morbidity,1
aaf_2007_ni39,2,55-64 Yrs,M,morbidity,1
aaf_2007_ni39,2,65-74 Yrs,M,morbidity,1
aaf_2007_ni39,2,75+ Yrs,M,morbidity,1
aaf_2007_ni39,2,00-15 Yrs,F,mortality,1
aaf_2007_ni39,2,16-24 Yrs,F,mortality,1
aaf_2007_ni39,2,25-34 Yrs,F,mortality,1
aaf_2007_ni39,2,35-44 Yrs,F,mortality,1
aaf_2007_ni39,2,45-54 Yrs,F,mortality,1
aaf_2007_ni39,2,55-64 Yrs,F,mortality,1
aaf_2007_ni39,2,65-74 Yrs,F,mortality,1
aaf_2007_ni39,2,75+ Yrs,F,mortality,1
aaf_2007_ni39,2,00-15 Yrs,M,mortality,1
aaf_2007_ni39,2,16-24 Yrs,M,mortality,1
aaf_2007_ni39,2,25-34 Yrs,M,mortality,1
aaf_2007_ni39,2,35-44 Yrs,M,mortality,1
aaf_2007_ni39,2,45-54 Yrs,M,mortality,1
aaf_2007_ni39,2,55-64 Yrs,M,mortality,1
aaf_2007_ni39,2,65-74 Yrs,M,mortality,1
aaf_2007_ni39,2,75+ Yrs,M,mortality,1
aaf_2007_ni39,3,00-15 Yrs,F,morbidity,1
aaf_2007_ni39,3,16-24 Yrs,F,morbidity,1
aaf_2007_ni39,3,25-34 Yrs,F,morbidity,1
aaf_2007_ni39,3,35-44 Yrs,F,morbidity,1
aaf_2007_ni39,3,45-54 Yrs,F,morbidity,1
aaf_2007_ni39,3,55-64 Yrs,F,morbidity,1
aaf_2007_ni39,3,65-74 Yrs,F,morbidity,1
aaf_2007_ni39,3,75+ Yrs,F,morbidity,1
aaf_2007_ni39,3,00-15 Yrs,M,morbidity,1
aaf_2007_ni39,3,16-24 Yrs,M,morbidity,1
aaf_2007_ni39,3,25-34 Yrs,M,morbidity,1
aaf_2007_ni39,3,35-44 Yrs,M,morbidity,1
aaf_2007_ni39,3,45-54 Yrs,M,morbidity,1
aaf_2007_ni39,3,55-64 Yrs,M,morbidity,1
aaf_2007_ni39,3,65-74 Yrs,M,morbidity,1
aaf_2007_ni39,3,75+ Yrs,M,morbidity,1
aaf_2007_ni39,3,00-15 Yrs,F,mortality,1
aaf_2007_ni39,3,16-24 Yrs,F,mortality,1
aaf_2007_ni39,3,25-34 Yrs,F,mortality,1
aaf_2007_ni39,3,35-44 Yrs,F,mortality,1
aaf_2007_ni39,3,45-54 Yrs,F,mortality,1
aaf_2007_ni39,3,55-64 Yrs,F,mortality,1
aaf_2007_ni39,3,65-74 Yrs,F,mortality,1
aaf_2007_ni39,3,75+ Yrs,F,mortality,1
aaf_2007_ni39,3,00-15 Yrs,M,mortality,1
aaf_2007_ni39,3,16-24 Yrs,M,mortality,1
aaf_2007_ni39,3,25-34 Yrs,M,mortality,1
aaf_2007_ni39,3,35-44 Yrs,M,mortality,1
aaf_2007_ni39,3,45-54 Yrs,M,mortality,1
aaf_2007_ni39,3,55-64 Yrs,M,mortality,1
aaf_2007_ni39,3,65-74 Yrs,M,mortality,1
aaf_2007_ni39,3,75+ Yrs,M,mortality,1
aaf_2007_ni39,4,00-15 Yrs,F,morbidity,1
aaf_2007_ni39,4,16-24 Yrs,F,morbidity,1
aaf_2007_ni39,4,25-34 Yrs,F,morbidity,1
aaf_2007_ni39,4,35-44 Yrs,F,morbidity,1
aaf_2007_ni39,4,45-54 Yrs,F,morbidity,1
aaf_2007_ni39,4,55-64 Yrs,F,morbidity,1
aaf_2007_ni39,4,65-74 Yrs,F,morbidity,1
aaf_2007_ni39,4,75+ Yrs,F,morbidity,1
aaf_2007_ni39,4,00-15 Yrs,M,morbidity,1
aaf_2007_ni39,4,16-24 Yrs,M,morbidity,1
aaf_2007_ni39,4,25-34 Yrs,M,morbidity,1
aaf_2007_ni39,4,35-44 Yrs,M,morbidity,1
aaf_2007_ni39,4,45-54 Yrs,M,morbidity,1
aaf_2007_ni39,4,55-64 Yrs,M,morbidity,1
aaf_2007_ni39,4,65-74 Yrs,M,morbidity,1
aaf_2007_ni39,4,75+ Yrs,M,morbidity,1
aaf_2007_ni39,4,00-15 Yrs,F,mortality,1
aaf_2007_ni39,4,16-24 Yrs,F,mortality,1
aaf_2007_ni39,4,25-34 Yrs,F,mortality,1
aaf_2007_ni39,4,35-44 Yrs,F,mortality,1
aaf_2007_ni39,4,45-54 Yrs,F,mortality,1
aaf_2007_ni39,4,55-64 Yrs,F,mortality,1
aaf_2007_ni39,4,65-74 Yrs,F,mortality,1
aaf_2007_ni39,4,75+ Yrs,F,mortality,1
aaf_2007_ni39,4,00-15 Yrs,M,mortality,1
aaf_2007_ni39,4,16-24 Yrs,M,mortality,1
aaf_2007_ni39,4,25-34 Yrs,M,mortality,1
aaf_2007_ni39,4,35-44 Yrs,M,mortality,1
aaf_2007_ni39,4,45-54 Yrs,M,mortality,1
aaf_2007_ni39,4,55-64 Yrs,M,mortality,1
aaf_2007_ni39,4,65-74 Yrs,M,mortality,1
aaf_2007_ni39,4,75+ Yrs,M,mortality,1
aaf_2007_ni39,5,00-15 Yrs,F,morbidity,1
aaf_2007_ni39,5,16-24 Yrs,F,morbidity,1
aaf_2007_ni39,5,25-34 Yrs,F,morbidity,1
aaf_2007_ni39,5,35-44 Yrs,F,morbidity,1
aaf_2007_ni39,5,45-54 Yrs,F,morbidity,1
aaf_2007_ni39,5,55-64 Yrs,F,morbidity,1
aaf_2007_ni39,5,65-74 Yrs,F,morbidity,1
aaf_2007_ni39,5,75+ Yrs,F,morbidity,1
aaf_2007_ni39,5,00-15 Yrs,M,morbidity,1
aaf_2007_ni39,5,16-24 Yrs,M,morbidity,1
aaf_2007_ni39,5,25-34 Yrs,M,morbidity,1
aaf_2007_ni39,5,35-44 Yrs,M,morbidity,1
aaf_2007_ni39,5,45-54 Yrs,M,morbidity,1
aaf_2007_ni39,5,55-64 Yrs,M,morbidity,1
aaf_2007_ni39,5,65-74 Yrs,M,morbidity,1
aaf_2007_ni39,5,75+ Yrs,M,morbidity,1
aaf_2007_ni39,5,00-15 Yrs,F,mortality,1
aaf_2007_ni39,5,16-24 Yrs,F,mortality,1
aaf_2007_ni39,5,25-34 Yrs,F,mortality,1
aaf_2007_ni39,5,35-44 Yrs,F,mortality,1
aaf_2007_ni39,5,45-54 Yrs,F,mortality,1
aaf_2007_ni39,5,55-64 Yrs,F,mortality,1
aaf_2007_ni39,5,65-74 Yrs,F,mortality,1
aaf_2007_ni39,5,75+ Yrs,F,mortality,1
aaf_2007_ni39,5,00-15 Yrs,M,mortality,1
aaf_2007_ni39,5,16-24 Yrs,M,mortality,1
aaf_2007_ni39,5,25-34 Yrs,M,mortality,1
aaf_2007_ni39,5,35-44 Yrs,M,mortality,1
aaf_2007_ni39,5,45-54 Yrs,M,mortality,1
aaf_2007_ni39,5,55-64 Yrs,M,mortality,1
aaf_2007_ni39,5,65-74 Yrs,M,mortality,1
aaf_2007_ni39,5,75+ Yrs,M,mortality,1
aaf_2007_ni39,6,00-15 Yrs,F,morbidity,1
aaf_2007_ni39,6,16-24 Yrs,F,morbidity,1
aaf_2007_ni39,6,25-34 Yrs,F,morbidity,1
aaf_2007_ni39,6,35-44 Yrs,F,morbidity,1
aaf_2007_ni39,6,45-54 Yrs,F,morbidity,1
aaf_2007_ni39,6,55-64 Yrs,F,morbidity,1
aaf_2007_ni39,6,65-74 Yrs,F,morbidity,1
aaf_2007_ni39,6,75+ Yrs,F,morbidity,1
aaf_2007_ni39,6,00-15 Yrs,M,morbidity,1
aaf_2007_ni39,6,16-24 Yrs,M,morbidity,1
aaf_2007_ni39,6,25-34 Yrs,M,morbidity,1
aaf_2007_ni39,6,35-44 Yrs,M,morbidity,1
aaf_2007_ni39,6,45-54 Yrs,M,morbidity,1
aaf_2007_ni39,6,55-64 Yrs,M,morbidity,1
aaf_2007_ni39,6,65-74 Yrs,M,morbidity,1
aaf_2007_ni39,6,75+ Yrs,M,morbidity,1
aaf_2007_ni39,6,00-15 Yrs,F,mortality,1
aaf_2007_ni39,6,16-24 Yrs,F,mortality,1
aaf_2007_ni39,6,25-34 Yrs,F,mortality,1
aaf_2007_ni39,6,35-44 Yrs,F,mortality,1
aaf_2007_ni39,6,45-54 Yrs,F,mortality,1
aaf_2007_ni39,6,55-64 Yrs,F,mortality,1
aaf_2007_ni39,6,65-74 Yrs,F,mortality,1
aaf_2007_ni39,6,75+ Yrs,F,mortality,1
aaf_2007_ni39,6,00-15 Yrs,M,mortality,1
aaf_2007_ni39,6,16-24 Yrs,M,mortality,1
aaf_2007_ni39,6,25-34 Yrs,M,mortality,1
aaf_2007_ni39,6,35-44 Yrs,M,mortality,1
aaf_2007_ni39,6,45-54 Yrs,M,mortality,1
aaf_2007_ni39,6,55-64 Yrs,M,mortality,1
aaf_2007_ni39,6,65-74 Yrs,M,mortality,1
aaf_2007_ni39,6,75+ Yrs,M,mortality,1
aaf_2007_ni39,7,00-15 Yrs,F,morbidity,1
aaf_2007_ni39,7,16-24 Yrs,F,morbidity,1
aaf_2007_ni39,7,25-34 Yrs,F,morbidity,1
aaf_2007_ni39,7,35-44 Yrs,F,morbidity,1
aaf_2007_ni39,7,45-54 Yrs,F,morbidity,1
aaf_2007_ni39,7,55-64 Yrs,F,morbidity,1
aaf_2007_ni39,7,65-74 Yrs,F,morbidity,1
aaf_2007_ni39,7,75+ Yrs,F,morbidity,1
aaf_2007_ni39,7,00-15 Yrs,M,morbidity,1
aaf_2007_ni39,7,16-24 Yrs,M,morbidity,1
aaf_2007_ni39,7,25-34 Yrs,M,morbidity,1
aaf_2007_ni39,7,35-44 Yrs,M,morbidity,1
aaf_2007_ni39,7,45-54 Yrs,M,morbidity,1
aaf_2007_ni39,7,55-64 Yrs,M,morbidity,1
aaf_2007_ni39,7,65-74 Yrs,M,morbidity,1
aaf_2007_ni39,7,75+ Yrs,M,morbidity,1
aaf_2007_ni39,7,00-15 Yrs,F,mortality,1
aaf_2007_ni39,7,16-24 Yrs,F,mortality,1
aaf_2007_ni39,7,25-34 Yrs,F,mortality,1
aaf_2007_ni39,7,35-44 Yrs,F,mortality,1
aaf_2007_ni39,7,45-54 Yrs,F,mortality,1
aaf_2007_ni39,7,55-64 Yrs,F,mortality,1
aaf_2007_ni39,7,65-74 Yrs,F,mortality,1
aaf_2007_ni39,7,75+ Yrs,F,mortality,1
aaf_2007_ni39,7,00-15 Yrs,M,mortality,1
aaf_2007_ni39,7,16-24 Yrs,M,mortality,1
aaf_2007_ni39,7,25-34 Yrs,M,mortality,1
aaf_2007_ni39,7,35-44 Yrs,M,mortality,1
aaf_2007_ni39,7,45-54 Yrs,M,mortality,1
aaf_2007_ni39,7,55-64 Yrs,M,mortality,1
aaf_2007_ni39,7,65-74 Yrs,M,mortality,1
aaf_2007_ni39,7,75+ Yrs,M,mortality,1
aaf_2007_ni39,10,00-15 Yrs,F,morbidity,1
aaf_2007_ni39,10,16-24 Yrs,F,morbidity,1
aaf_2007_ni39,10,25-34 Yrs,F,morbidity,1
aaf_2007_ni39,10,35-44 Yrs,F,morbidity,1
aaf_2007_ni39,10,45-54 Yrs,F,morbidity,1
aaf_2007_ni39,10,55-64 Yrs,F,morbidity,1
aaf_2007_ni39,10,65-74 Yrs,F,morbidity,1
aaf_2007_ni39,10,75+ Yrs,F,morbidity,1
aaf_2007_ni39,10,00-15 Yrs,M,morbidity,1
aaf_2007_ni39,10,16-24 Yrs,M,morbidity,1
aaf_2007_ni39,10,25-34 Yrs,M,morbidity,1
aaf_2007_ni39,10,35-44 Yrs,M,morbidity,1
aaf_2007_ni39,10,45-54 Yrs,M,morbidity,1
aaf_2007_ni39,10,55-64 Yrs,M,morbidity,1
aaf_2007_ni39,10,65-74 Yrs,M,morbidity,1
aaf_2007_ni39,10,75+ Yrs,M,morbidity,1
aaf_2007_ni39,10,00-15 Yrs,F,mortality,1
aaf_2007_ni39,10,16-24 Yrs,F,mortality,1
aaf_2007_ni39,10,25-34 Yrs,F,mortality,1
aaf_2007_ni39,10,35-44 Yrs,F,mortality,1
aaf_2007_ni39,10,45-54 Yrs,F,mortality,1
aaf_2007_ni39,10,55-64 Yrs,F,mortality,1
aaf_2007_ni39,10,65-74 Yrs,F,mortality,1
aaf_2007_ni39,10,75+ Yrs,F,mortality,1
aaf_2007_ni39,10,00-15 Yrs,M,mortality,1
aaf_2007_ni39,10,16-24 Yrs,M,mortality,1
aaf_2007_ni39,10,25-34 Yrs,M,mortality,1
aaf_2007_ni39,10,35-44 Yrs,M,mortality,1
aaf_2007_ni39,10,45-54 Yrs,M,mortality,1
aaf_2007_ni39,10,55-64 Yrs,M,mortality,1
aaf_2007_ni39,10,65-74 Yrs,M,mortality,1
aaf_2007_ni39,10,75+ Yrs,M,mortality,1
aaf_2007_ni39,13,00-15 Yrs,F,morbidity,1
aaf_2007_ni39,13,16-24 Yrs,F,morbidity,1
aaf_2007_ni39,13,25-34 Yrs,F,morbidity,1
aaf_2007_ni39,13,35-44 Yrs,F,morbidity,1
aaf_2007_ni39,13,45-54 Yrs,F,morbidity,1
aaf_2007_ni39,13,55-64 Yrs,F,morbidity,1
aaf_2007_ni39,13,65-74 Yrs,F,morbidity,1
aaf_2007_ni39,13,75+ Yrs,F,morbidity,1
aaf_2007_ni39,13,00-15 Yrs,M,morbidity,1
aaf_2007_ni39,13,16-24 Yrs,M,morbidity,1
aaf_2007_ni39,13,25-34 Yrs,M,morbidity,1
aaf_2007_ni39,13,35-44 Yrs,M,morbidity,1
aaf_2007_ni39,13,45-54 Yrs,M,morbidity,1
aaf_2007_ni39,13,55-64 Yrs,M,morbidity,1
aaf_2007_ni39,13,65-74 Yrs,M,morbidity,1
aaf_2007_ni39,13,75+ Yrs,M,morbidity,1
aaf_2007_ni39,13,00-15 Yrs,F,mortality,1
aaf_2007_ni39,13,16-24 Yrs,F,mortality,1
aaf_2007_ni39,13,25-34 Yrs,F,mortality,1
aaf_2007_ni39,13,35-44 Yrs,F,mortality,1
aaf_2007_ni39,13,45-54 Yrs,F,mortality,1
aaf_2007_ni39,13,55-64 Yrs,F,mortality,1
aaf_2007_ni39,13,65-74 Yrs,F,mortality,1
aaf_2007_ni39,13,75+ Yrs,F,mortality,1
aaf_2007_ni39,13,00-15 Yrs,M,mortality,1
aaf_2007_ni39,13,16-24 Yrs,M,mortality,1
aaf_2007_ni39,13,25-34 Yrs,M,mortality,1
aaf_2007_ni39,13,35-44 Yrs,M,mortality,1
aaf_2007_ni39,13,45-54 Yrs,M,mortality,1
aaf_2007_ni39,13,55-64 Yrs,M,mortality,1
aaf_2007_ni39,13,65-74 Yrs,M,mortality,1
aaf_2007_ni39,13,75+ Yrs,M,mortality,1
aaf_2007_ni39,14,00-15 Yrs,F,morbidity,1
aaf_2007_ni39,14,16-24 Yrs,F,morbidity,1
aaf_2007_ni39,14,25-34 Yrs,F,morbidity,1
aaf_2007_ni39,14,35-44 Yrs,F,morbidity,1
aaf_2007_ni39,14,45-54 Yrs,F,morbidity,1
aaf_2007_ni39,14,55-64 Yrs,F,morbidity,1
aaf_2007_ni39,14,65-74 Yrs,F,morbidity,1
aaf_2007_ni39,14,75+ Yrs,F,morbidity,1
aaf_2007_ni39,14,00-15 Yrs,M,morbidity,1
aaf_2007_ni39,14,16-24 Yrs,M,morbidity,1
aaf_2007_ni39,14,25-34 Yrs,M,morbidity,1
aaf_2007_ni39,14,35-44 Yrs,M,morbidity,1
aaf_2007_ni39,14,45-54 Yrs,M,morbidity,1
aaf_2007_ni39,14,55-64 Yrs,M,morbidity,1
aaf_2007_ni39,14,65-74 Yrs,M,morbidity,1
aaf_2007_ni39,14,75+ Yrs,M,morbidity,1
aaf_2007_ni39,14,00-15 Yrs,F,mortality,1
aaf_2007_ni39,14,16-24 Yrs,F,mortality,1
aaf_2007_ni39,14,25-34 Yrs,F,mortality,1
aaf_2007_ni39,14,35-44 Yrs,F,mortality,1
aaf_2007_ni39,14,45-54 Yrs,F,mortality,1
aaf_2007_ni39,14,55-64 Yrs,F,mortality,1
aaf_2007_ni39,14,65-74 Yrs,F,mortality,1
aaf_2007_ni39,14,75+ Yrs,F,mortality,1
aaf_2007_ni39,14,00-15 Yrs,M,mortality,1
aaf_2007_ni39,14,16-24 Yrs,M,mortality,1
aaf_2007_ni39,14,25-34 Yrs,M,mortality,1
aaf_2007_ni39,14,35-44 Yrs,M,mortality,1
aaf_2007_ni39,14,45-54 Yrs,M,mortality,1
aaf_2007_ni39,14,55-64 Yrs,M,mortality,1
aaf_2007_ni39,14,65-74 Yrs,M,mortality,1
aaf_2007_ni39,14,75+ Yrs,M,mortality,1
aaf_2007_ni39,15,00-15 Yrs,F,morbidity,1
aaf_2007_ni39,15,16-24 Yrs,F,morbidity,1
aaf_2007_ni39,15,25-34 Yrs,F,morbidity,1
aaf_2007_ni39,15,35-44 Yrs,F,morbidity,1
aaf_2007_ni39,15,45-54 Yrs,F,morbidity,1
aaf_2007_ni39,15,55-64 Yrs,F,morbidity,1
aaf_2007_ni39,15,65-74 Yrs,F,morbidity,1
aaf_2007_ni39,15,75+ Yrs,F,morbidity,1
aaf_2007_ni39,15,00-15 Yrs,M,morbidity,1
aaf_2007_ni39,15,16-24 Yrs,M,morbidity,1
aaf_2007_ni39,15,25-34 Yrs,M,morbidity,1
aaf_2007_ni39,15,35-44 Yrs,M,morbidity,1
aaf_2007_ni39,15,45-54 Yrs,M,morbidity,1
aaf_2007_ni39,15,55-64 Yrs,M,morbidity,1
aaf_2007_ni39,15,65-74 Yrs,M,morbidity,1
aaf_2007_ni39,15,75+ Yrs,M,morbidity,1
aaf_2007_ni39,15,00-15 Yrs,F,mortality,1
aaf_2007_ni39,15,16-24 Yrs,F,mortality,1
aaf_2007_ni39,15,25-34 Yrs,F,mortality,1
aaf_2007_ni39,15,35-44 Yrs,F,mortality,1
aaf_2007_ni39,15,45-54 Yrs,F,mortality,1
aaf_2007_ni39,15,55-64 Yrs,F,mortality,1
aaf_2007_ni39,15,65-74 Yrs,F,mortality,1
aaf_2007_ni39,15,75+ Yrs,F,mortality,1
aaf_2007_ni39,15,00-15 Yrs,M,mortality,1
aaf_2007_ni39,15,16-24 Yrs,M,mortality,1
aaf_2007_ni39,15,25-34 Yrs,M,mortality,1
aaf_2007_ni39,15,35-44 Yrs,M,mortality,1
aaf_2007_ni39,15,45-54 Yrs,M,mortality,1
aaf_2007_ni39,15,55-64 Yrs,M,mortality,1
aaf_2007_ni39,15,65-74 Yrs,M,mortality,1
aaf_2007_ni39,15,75+ Yrs,M,mortality,1
aaf_2007_ni39,16,00-15 Yrs,F,morbidity,1
aaf_2007_ni39,16,16-24 Yrs,F,morbidity,1
aaf_2007_ni39,16,25-34 Yrs,F,morbidity,1
aaf_2007_ni39,16,35-44 Yrs,F,morbidity,1
aaf_2007_ni39,16,45-54 Yrs,F,morbidity,1
aaf_2007_ni39,16,55-64 Yrs,F,morbidity,1
aaf_2007_ni39,16,65-74 Yrs,F,morbidity,1
aaf_2007_ni39,16,75+ Yrs,F,morbidity,1
aaf_2007_ni39,16,00-15 Yrs,M,morbidity,1
aaf_2007_ni39,16,16-24 Yrs,M,morbidity,1
aaf_2007_ni39,16,25-34 Yrs,M,morbidity,1
aaf_2007_ni39,16,35-44 Yrs,M,morbidity,1
aaf_2007_ni39,16,45-54 Yrs,M,morbidity,1
aaf_2007_ni39,16,55-64 Yrs,M,morbidity,1
aaf_2007_ni39,16,65-74 Yrs,M,morbidity,1
aaf_2007_ni39,16,75+ Yrs,M,morbidity,1
aaf_2007_ni39,16,00-15 Yrs,F,mortality,1
aaf_2007_ni39,16,16-24 Yrs,F,mortality,1
aaf_2007_ni39,16,25-34 Yrs,F,mortality,1
aaf_2007_ni39,16,35-44 Yrs,F,mortality,1
aaf_2007_ni39,16,45-54 Yrs,F,mortality,1
aaf_2007_ni39,16,55-64 Yrs,F,mortality,1
aaf_2007_ni39,16,65-74 Yrs,F,mortality,1
aaf_2007_ni39,16,75+ Yrs,F,mortality,1
aaf_2007_ni39,16,00-15 Yrs,M,mortality,1
aaf_2007_ni39,16,16-24 Yrs,M,mortality,1
aaf_2007_ni39,16,25-34 Yrs,M,mortality,1
aaf_2007_ni39,16,35-44 Yrs,M,mortality,1
aaf_2007_ni39,16,45-54 Yrs,M,mortality,1
aaf_2007_ni39,16,55-64 Yrs,M,mortality,1
aaf_2007_ni39,16,65-74 Yrs,M,mortality,1
aaf_2007_ni39,16,75+ Yrs,M,mortality,1
aaf_2007_ni39,22,00-15 Yrs,F,morbidity,0
aaf_2007_ni39,22,16-24 Yrs,F,morbidity,0.35
aaf_2007_ni39,22,25-34 Yrs,F,morbidity,0.33
aaf_2007_ni39,22,35-44 Yrs,F,morbidity,0.33
aaf_2007_ni39,22,45-54 Yrs,F,morbidity,0.34
aaf_2007_ni39,22,55-64 Yrs,F,morbidity,0.31
aaf_2007_ni39,22,65-74 Yrs,F,morbidity,0.24
aaf_2007_ni39,22,75+ Yrs,F,morbidity,0.2
aaf_2007_ni39,22,00-15 Yrs,M,morbidity,0
aaf_2007_ni39,22,16-24 Yrs,M,morbidity,0.54
aaf_2007_ni39,22,25-34 Yrs,M,morbidity,0.54
aaf_2007_ni39,22,35-44 Yrs,M,morbidity,0.53
aaf_2007_ni39,22,45-54 Yrs,M,morbidity,0.57
aaf_2007_ni39,22,55-64 Yrs,M,morbidity,0.55
aaf_2007_ni39,22,65-74 Yrs,M,morbidity,0.5
aaf_2007_ni39,22,75+ Yrs,M,morbidity,0.44
aaf_2007_ni39,22,00-15 Yrs,F,mortality,0
aaf_2007_ni39,22,16-24 Yrs,F,mortality,0.35
aaf_2007_ni39,22,25-34 Yrs,F,mortality,0.33
aaf_2007_ni39,22,35-44 Yrs,F,mortality,0.33
aaf_2007_ni39,22,45-54 Yrs,F,mortality,0.34
aaf_2007_ni39,22,55-64 Yrs,F,mortality,0.31
aaf_2007_ni39,22,65-74 Yrs,F,mortality,0.24
aaf_2007_ni39,22,75+ Yrs,F,mortality,0.2
aaf_2007_ni39,22,00-15 Yrs,M,mortality,0
aaf_2007_ni39,22,16-24 Yrs,M,mortality,0.54
aaf_2007_ni39,22,25-34 Yrs,M,mortality,0.54
aaf_2007_ni39,22,35-44 Yrs,M,mortality,0.53
aaf_2007_ni39,22,45-54 Yrs,M,mortality,0.57
aaf_2007_ni39,22,55-64 Yrs,M,mortality,0.55
aaf_2007_ni39,22,65-74 Yrs,M,mortality,0.5
aaf_2007_ni39,22,75+ Yrs,M,mortality,0.44
aaf_2007_ni39,23,00-15 Yrs,F,morbidity,0
aaf_2007_ni39,23,16-24 Yrs,F,morbidity,0.2
aaf_2007_ni39,23,25-34 Yrs,F,morbidity,0.18
aaf_2007_ni39,23,35-44 Yrs,F,morbidity,0.18
aaf_2007_ni39,23,45-54 Yrs,F,morbidity,0.18
aaf_2007_ni39,23,55-64 Yrs,F,morbidity,0.17
aaf_2007_ni39,23,65-74 Yrs,F,morbidity,0.13
aaf_2007_ni39,23,75+ Yrs,F,morbidity,0.1
aaf_2007_ni39,23,00-15 Yrs,M,morbidity,0
aaf_2007_ni39,23,16-24 Yrs,M,morbidity,0.35
aaf_2007_ni39,23,25-34 Yrs,M,morbidity,0.35
aaf_2007_ni39,23,35-44 Yrs,M,morbidity,0.34
aaf_2007_ni39,23,45-54 Yrs,M,morbidity,0.38
aaf_2007_ni39,23,55-64 Yrs,M,morbidity,0.36
aaf_2007_ni39,23,65-74 Yrs,M,morbidity,0.31
aaf_2007_ni39,23,75+ Yrs,M,morbidity,0.26
aaf_2007_ni39,23,00-15 Yrs,F,mortality,0
aaf_2007_ni39,23,16-24 Yrs,F,mortality,0.2
aaf_2007_ni39,23,25-34 Yrs,F,mortality,0.18
aaf_2007_ni39,23,35-44 Yrs,F,mortality,0.18
aaf_2007_ni39,23,45-54 Yrs,F,mortality,0.18
aaf_2007_ni39,23,55-64 Yrs,F,mortality,0.17
aaf_2007_ni39,23,65-74 Yrs,F,mortality,0.13
aaf_2007_ni39,23,75+ Yrs,F,mortality,0.1
aaf_2007_ni39,23,00-15 Yrs,M,mortality,0
aaf_2007_ni39,23,16-24 Yrs,M,mortality,0.35
aaf_2007_ni39,23,25-34 Yrs,M,mortality,0.35
aaf_2007_ni39,23,35-44 Yrs,M,mortality,0.34
aaf_2007_ni39,23,45-54 Yrs,M,mortality,0.38
aaf_2007_ni39,23,55-64 Yrs,M,mortality,0.36
aaf_2007_ni39,23,65-74 Yrs,M,mortality,0.31
aaf_2007_ni39,23,75+ Yrs,M,mortality,0.26
aaf_2007_ni39,28,00-15 Yrs,F,morbidity,0
aaf_2007_ni39,28,16-24 Yrs,F,morbidity,0.21
aaf_2007_ni39,28,25-34 Yrs,F,morbidity,0.2
aaf_2007_ni39,28,35-44 Yrs,F,morbidity,0.2
aaf_2007_ni39,28,45-54 Yrs,F,morbidity,0.2
aaf_2007_ni39,28,55-64 Yrs,F,morbidity,0.19
