Version,condition_fuid,condition_uid,aa_ageband,sex,analysis_type,aaf
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic myopathy.G72.1,5,16-24 Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic myopathy.G72.1,5,25-34 Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic myopathy.G72.1,5,35-44 Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic myopathy.G72.1,5,45-54 Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic myopathy.G72.1,5,55-64 Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic myopathy.G72.1,5,65-74 Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic myopathy.G72.1,5,75+ Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic myopathy.G72.1,5,00-15 Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic myopathy.G72.1,5,16-24 Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic myopathy.G72.1,5,25-34 Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic myopathy.G72.1,5,35-44 Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic myopathy.G72.1,5,45-54 Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic myopathy.G72.1,5,55-64 Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic myopathy.G72.1,5,65-74 Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic myopathy.G72.1,5,75+ Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic myopathy.G72.1,5,00-15 Yrs,M,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic myopathy.G72.1,5,16-24 Yrs,M,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic myopathy.G72.1,5,25-34 Yrs,M,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic myopathy.G72.1,5,35-44 Yrs,M,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic myopathy.G72.1,5,45-54 Yrs,M,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic myopathy.G72.1,5,55-64 Yrs,M,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic myopathy.G72.1,5,65-74 Yrs,M,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic myopathy.G72.1,5,75+ Yrs,M,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic cardiomyopathy.I42.6,6,00-15 Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic cardiomyopathy.I42.6,6,16-24 Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic cardiomyopathy.I42.6,6,25-34 Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic cardiomyopathy.I42.6,6,35-44 Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic cardiomyopathy.I42.6,6,45-54 Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic cardiomyopathy.I42.6,6,55-64 Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic cardiomyopathy.I42.6,6,65-74 Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic cardiomyopathy.I42.6,6,75+ Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic cardiomyopathy.I42.6,6,00-15 Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic cardiomyopathy.I42.6,6,16-24 Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic cardiomyopathy.I42.6,6,25-34 Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic cardiomyopathy.I42.6,6,35-44 Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic cardiomyopathy.I42.6,6,45-54 Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic cardiomyopathy.I42.6,6,55-64 Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic cardiomyopathy.I42.6,6,65-74 Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic cardiomyopathy.I42.6,6,75+ Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic cardiomyopathy.I42.6,6,00-15 Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic cardiomyopathy.I42.6,6,16-24 Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic cardiomyopathy.I42.6,6,25-34 Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic cardiomyopathy.I42.6,6,35-44 Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic cardiomyopathy.I42.6,6,45-54 Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic cardiomyopathy.I42.6,6,55-64 Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic cardiomyopathy.I42.6,6,65-74 Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic cardiomyopathy.I42.6,6,75+ Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic cardiomyopathy.I42.6,6,00-15 Yrs,M,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic cardiomyopathy.I42.6,6,16-24 Yrs,M,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic cardiomyopathy.I42.6,6,25-34 Yrs,M,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic cardiomyopathy.I42.6,6,35-44 Yrs,M,mortality,1
